name,lon_lat,coor_type,category
عروق,"[[45.257492, 17.579241]]",POINT,نفود
عروق,"[[46.020527, 17.386293]]",POINT,نفود
عروق البكره,"[[46.993332, 17.568941]]",POINT,نفود
عروق الحقاب,"[[45.392504, 17.399254]]",POINT,نفود
عروق الصفيات,"[[45.194707, 18.039444]]",POINT,نفود
عروق الطويلة,"[[46.284542, 17.378311]]",POINT,نفود
عروق العناب,"[[45.19063, 17.443542]]",POINT,نفود
عروق الغنم,"[[46.255617, 18.977079]]",POINT,نفود
عروق القحميات,"[[46.530447, 17.35548]]",POINT,نفود
عروق المندفن,"[[45.476275, 18.437998]]",POINT,نفود
عروق المنطحات,"[[45.776081, 17.390842]]",POINT,نفود
عروق مصفح,"[[45.849552, 17.386122]]",POINT,نفود
